	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d
	Gaitway.Time	Gaitway.Speed	Gaitway.Grade	Gaitway.GRFx	Gaitway.GRFy	Gaitway.GRFz	Gaitway.CoPx	Gaitway.CoPy	Gaitway.Mx	Gaitway.My	Gaitway.Mz	Gaitway.Tz	Gaitway.FxL	Gaitway.FyL	Gaitway.FzL	Gaitway.CoPxL	Gaitway.CoPyL	Gaitway.FxR	Gaitway.FyR	Gaitway.FzR	Gaitway.CoPxR	Gaitway.CoPyR
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
73	0.073	0.0	0.0	-0.094	-3.2702	790.5543	0.5663	0.8685	686.5774	-447.6636	-1.7681	0.0021										
74	0.074	0.0	0.0	-0.1015	-3.2649	790.5446	0.5662	0.8685	686.5584	-447.6426	-1.7561	0.0045										
75	0.075	0.0	0.0	-0.1095	-3.2593	790.5305	0.5662	0.8684	686.5348	-447.6189	-1.743	0.0074										
76	0.076	0.0	0.0	-0.1181	-3.2533	790.5125	0.5662	0.8684	686.5071	-447.5926	-1.7288	0.0107										
77	0.077	0.0	0.0	-0.1271	-3.2467	790.4909	0.5662	0.8684	686.4758	-447.5641	-1.7135	0.0144										
78	0.078	0.0	0.0	-0.1365	-3.2397	790.4662	0.5662	0.8684	686.4415	-447.5337	-1.6974	0.0183										
79	0.079	0.0	0.0	-0.1462	-3.2319	790.4387	0.5661	0.8684	686.4047	-447.5015	-1.6804	0.0223										
80	0.08	0.0	0.0	-0.1562	-3.2233	790.409	0.5661	0.8684	686.3659	-447.4679	-1.6628	0.0264										
81	0.081	0.0	0.0	-0.1662	-3.2139	790.3775	0.5661	0.8684	686.3258	-447.4332	-1.6447	0.0303										
82	0.082	0.0	0.0	-0.1762	-3.2035	790.3446	0.5661	0.8683	686.2849	-447.3976	-1.6263	0.0341										
83	0.083	0.0	0.0	-0.1861	-3.1919	790.3107	0.5661	0.8683	686.2436	-447.3614	-1.6077	0.0375										
84	0.084	0.0	0.0	-0.1957	-3.1792	790.276	0.566	0.8683	686.2024	-447.3247	-1.5891	0.0405										
85	0.085	0.0	0.0	-0.205	-3.1653	790.2411	0.566	0.8683	686.1617	-447.2879	-1.5706	0.0431										
86	0.086	0.0	0.0	-0.2137	-3.15	790.206	0.566	0.8683	686.1217	-447.251	-1.5523	0.045										
87	0.087	0.0	0.0	-0.2219	-3.1333	790.171	0.566	0.8683	686.0828	-447.2142	-1.5343	0.0463										
88	0.088	0.0	0.0	-0.2295	-3.1153	790.1364	0.566	0.8683	686.0451	-447.1777	-1.5168	0.047										
89	0.089	0.0	0.0	-0.2364	-3.0959	790.1022	0.5659	0.8683	686.0086	-447.1416	-1.4998	0.047										
90	0.09	0.0	0.0	-0.2425	-3.0751	790.0684	0.5659	0.8682	685.9733	-447.1059	-1.4834	0.0463										
91	0.091	0.0	0.0	-0.2479	-3.0531	790.0352	0.5659	0.8682	685.9393	-447.0706	-1.4675	0.0449										
92	0.092	0.0	0.0	-0.2526	-3.0297	790.0024	0.5659	0.8682	685.9063	-447.0359	-1.4522	0.0429										
93	0.093	0.0	0.0	-0.2565	-3.0053	789.9702	0.5658	0.8682	685.8742	-447.0016	-1.4374	0.0404										
