Devices
1000
,,DelSys EMG - Voltage,,,Delsys ACC - Acceleration,,
Frame,Sub Frame,Right TA,Right GL,Right GM,1,2
,,V,V,V,mm/s²,mm/s²
73,4,0.0149633,0.0370565,-0.0220585,44.9066,23899.3
74,0,0.00691429,0.0334707,-0.0256062,-295.635,24004.1
74,1,0.0129034,0.0332418,-0.0176334,-886.906,24031
74,2,-0.00426277,0.0288931,-0.0148869,-205.822,23971.2
74,3,-0.00346169,0.0317541,-0.0202274,344.284,23974.1
74,4,0.0147344,0.0363317,-0.02141,-14.9689,24031
75,0,0.00519768,0.0409475,-0.0301838,-329.315,24055
75,1,-0.00533089,0.0355688,-0.0228596,-1141.38,24072.9
75,2,-0.00075325,0.032517,-0.0160313,-101.04,24019.1
75,3,-0.0116251,0.031983,-0.0210285,291.893,23947.2
75,4,-0.007696,0.0345007,-0.0190449,-104.782,23926.2
76,0,-0.000104751,0.0419775,-0.0264835,-56.1333,23932.2
76,1,0.0153829,0.0375524,-0.0202274,-707.279,23965.2
76,2,0.00550285,0.0333181,-0.0173664,-299.377,23908.3
76,3,0.0192739,0.0297323,-0.0185108,97.2977,23869.4
76,4,0.0220586,0.0354925,-0.0183201,299.377,23806.5
77,0,0.00679985,0.0383535,-0.0215626,52.3911,23884.3
77,1,0.00363365,0.0382009,-0.0188923,-411.644,23959.2
77,2,0.00596062,0.0354162,-0.0182056,-415.386,23932.2
77,3,0.0111868,0.0308767,-0.011797,-63.6177,23896.3
77,4,0.00645653,0.0349584,-0.0158024,830.772,23791.5
78,0,0.00515953,0.0346914,-0.0217152,175.884,23971.2
78,1,-0.0142954,0.0401464,-0.0221729,-512.684,23998.1
78,2,-0.0224207,0.0356069,-0.0182819,-265.697,23986.1
78,3,-0.0200938,0.0314108,-0.0113392,-3.74222,23992.1
78,4,-0.0291727,0.0326696,-0.0100803,681.084,23920.3
79,0,-0.0351237,0.034081,-0.0200748,407.902,23968.2
79,1,-0.0589274,0.0385824,-0.0221729,-235.76,23989.1
79,2,-0.0396632,0.0349584,-0.0168324,-415.386,23980.1
79,3,-0.026121,0.0319448,-0.017252,67.3599,23968.2
79,4,-0.0467966,0.028626,-0.0151157,3.74222,23893.3
80,0,-0.0296687,0.0349966,-0.0181293,729.733,23878.3
80,1,-0.00514015,0.0376669,-0.0230503,-22.4533,23860.4
80,2,0.00966087,0.0349203,-0.0190067,-452.808,23941.2
80,3,0.0325872,0.0324026,-0.0197315,-48.6488,23821.5
80,4,0.0592901,0.0248113,-0.0133991,3.74222,23737.6
81,0,0.0328161,0.0328985,-0.0190067,516.426,23680.8
81,1,0.0188161,0.0383916,-0.0227833,-14.9689,23677.8
81,2,0.000353012,0.03328,-0.021944,-512.684,23737.6
81,3,0.00119225,0.0328603,-0.0193119,-456.551,23641.8
81,4,0.00546471,0.0258794,-0.015192,-190.853,23549
82,0,-0.00533089,0.0343481,-0.0140095,419.128,23480.2
82,1,-0.00262245,0.0372091,-0.021677,18.7111,23489.2
82,2,-0.00971779,0.0360265,-0.0299931,-366.737,23477.2
82,3,0.00416771,0.0357977,-0.0201511,-1182.54,23495.1
82,4,0.0195028,0.032517,-0.0150776,-89.8132,23423.3
83,0,0.00782982,0.0334707,-0.0184727,-254.471,23348.4
83,1,-0.00353798,0.0352255,-0.0233173,-67.3599,23375.4
83,2,0.00542656,0.0406423,-0.0307178,-179.626,23378.4
83,3,0.00519768,0.0366369,-0.0196171,-1227.45,23408.3
83,4,-0.00929817,0.0327459,-0.0163364,-202.08,23357.4
84,0,-0.0141428,0.031983,-0.0199986,89.8132,23315.5
84,1,-0.013418,0.0348821,-0.0190449,-104.782,23315.5
84,2,-0.0110148,0.0415578,-0.0241947,-119.751,23315.5
